ADDRESS;SCHOOL_CATEGORY;SCHOOL_NAME;Geom;Geo Local Area;geo_point_2d,,,,Longitude,Latitude
"7055 Heather St;Public School;Sir Winston Churchill Secondary;""{""""coordinates"""": [-123.12561546",49.22105957," """"type"""": """"Point""""}"";Oakridge;49.2210595681",-123.1256155,-123.1256155,49.22105957
"5855 Ontario St;Public School;Sir Wm Van Horne Elementary;""{""""coordinates"""": [-123.10656921",49.23156649," """"type"""": """"Point""""}"";Oakridge;49.2315664861",-123.1065692,-123.1065692,49.23156649
"1370 W 73rd Av;Independent School;St Anthony of Padua;""{""""coordinates"""": [-123.13700792036838",49.20446494," """"type"""": """"Point""""}"";Marpole;49.2044649382",-123.1370079,-123.1370079,49.20446494
"2215 W 10th Av;Independent School;St John's School;""{""""coordinates"""": [-123.1561791428068",49.26317767," """"type"""": """"Point""""}"";Kitsilano;49.2631776715",-123.1561791,-123.1561791,49.26317767
"5239 Joyce St;Independent School;St Mary's;""{""""coordinates"""": [-123.03370590892874",49.23750163," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2375016311",-123.0337059,-123.0337059,49.23750163
"115 E 11th Av;Independent School;St Patrick Regional Secondary;""{""""coordinates"""": [-123.10260439171995",49.26140454," """"type"""": """"Point""""}"";Mount Pleasant;49.2614045445",-123.1026044,-123.1026044,49.26140454
"2850 Quebec St;Independent School;St Patrick's Elementary;""{""""coordinates"""": [-123.1024366967439",49.2597623," """"type"""": """"Point""""}"";Mount Pleasant;49.2597623028",-123.1024367,-123.1024367,49.2597623
"3155 E 27th Av;Public School;Sunny Hill Hospital Program;""{""""coordinates"""": [-123.0371743",49.24651246," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2465124561",-123.0371743,-123.0371743,49.24651246
"2325 Cassiar St;Public School;Thunderbird Elementary;""{""""coordinates"""": [-123.03187058558184",49.26364889," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2636488904",-123.0318706,-123.0318706,49.26364889
"3525 Dumphries St;Public School;Tyee Elementary;""{""""coordinates"""": [-123.07382164",49.25356935," """"type"""": """"Point""""}"";Kensington-Cedar Cottage;49.2535693541",-123.0738216,-123.0738216,49.25356935
"3496 Mons Drive;Independent School;Vancouver Christian;""{""""coordinates"""": [-123.02856693112142",49.25471222," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2547122159",-123.0285669,-123.0285669,49.25471222
"5400 Cartier St;Independent School;Vancouver College;""{""""coordinates"""": [-123.1361713344514",49.23495942," """"type"""": """"Point""""}"";Shaughnessy;49.2349594188",-123.1361713,-123.1361713,49.23495942
"1545 W 62nd Av;Independent School;Vancouver Hebrew Academy;""{""""coordinates"""": [-123.1413692647842",49.21547173," """"type"""": """"Point""""}"";Marpole;49.2154717276",-123.1413693,-123.1413693,49.21547173
"8650 Barnard St;Independent School;Vancouver Montessori School;""{""""coordinates"""": [-123.14463359946043",49.2077904," """"type"""": """"Point""""}"";Marpole;49.2077903959",-123.1446336,-123.1446336,49.2077904
"1000 E 59th Av;Public School;Walter Moberly Elementary;""{""""coordinates"""": [-123.08434542",49.21610923," """"type"""": """"Point""""}"";Sunset;49.2161092301",-123.0843454,-123.0843454,49.21610923
"3075 Slocan St;Independent School;Westside Montessori Academy;""{""""coordinates"""": [-123.0503919492473",49.25693785," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2569378476",-123.0503919,-123.0503919,49.25693785
"4176 Alexandra St;Independent School;York House School;""{""""coordinates"""": [-123.14034013611547",49.24884822," """"type"""": """"Point""""}"";Shaughnessy;49.248848219",-123.1403401,-123.1403401,49.24884822
"1351 Hornby St;Independent School;Anchor Point Montessori;""{""""coordinates"""": [-123.13091892226645",49.27706185," """"type"""": """"Point""""}"";Downtown;49.2770618474",-123.1309189,-123.1309189,49.27706185
"5025 Willow St;Public School;BCCH Eating Disorders School Program;""{""""coordinates"""": [-123.12579095999999",49.23963096," """"type"""": """"Point""""}"";South Cambie;49.2396309611",-123.125791,-123.125791,49.23963096
"3020 Heather St;Independent School;Blessed Sacrament School;""{""""coordinates"""": [-123.1193909103338",49.25833791," """"type"""": """"Point""""}"";Fairview;49.2583379075",-123.1193909,-123.1193909,49.25833791
"1788 W Broadway;Independent School;Century High School;""{""""coordinates"""": [-123.14531440269688",49.26338476," """"type"""": """"Point""""}"";Fairview;49.2633847581",-123.1453144,-123.1453144,49.26338476
"3877 Glen Drive;Public School;Charles Dickens Annex;""{""""coordinates"""": [-123.08271031",49.25021306," """"type"""": """"Point""""}"";Kensington-Cedar Cottage;49.2502130611",-123.0827103,-123.0827103,49.25021306
"2882 E 4th Av;Public School;Chief Maquinna Annex;""{""""coordinates"""": [-123.04511809000002",49.26642154," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2664215431",-123.0451181,-123.0451181,49.26642154
"3200 W 41st Av;Independent School;Crofton House;""{""""coordinates"""": [-123.17721815907593",49.23367783," """"type"""": """"Point""""}"";Kerrisdale;49.2336778336",-123.1772182,-123.1772182,49.23367783
"55 Expo Blvd;Public School;Crosstown Elementary;""{""""coordinates"""": [-123.106594",49.278631," """"type"""": """"Point""""}"";Downtown;49.2786309991",-123.106594,-123.106594,49.278631
"6100 Battison St;Public School;Dr H N MacCorkindale Elementary;""{""""coordinates"""": [-123.02935503511594",49.22799019," """"type"""": """"Point""""}"";Killarney;49.2279901855",-123.029355,-123.029355,49.22799019
"2740 Guelph St;Public School;Florence Nightingale Elementary;""{""""coordinates"""": [-123.09371757",49.26005932," """"type"""": """"Point""""}"";Mount Pleasant;49.2600593241",-123.0937176,-123.0937176,49.26005932
"4860 Main St;Public School;General Brock Elementary;""{""""coordinates"""": [-123.10063141",49.24121522," """"type"""": """"Point""""}"";Riley Park;49.2412152211",-123.1006314,-123.1006314,49.24121522
"2055 Woodland Dr;Public School;Grandview Elementary;""{""""coordinates"""": [-123.0743697",49.26619317," """"type"""": """"Point""""}"";Grandview-Woodland;49.2661931691",-123.0743697,-123.0743697,49.26619317
"2500 Lakewood Drive;Public School;Laura Secord Elementary;""{""""coordinates"""": [-123.06022338",49.2617357," """"type"""": """"Point""""}"";Kensington-Cedar Cottage;49.2617357031",-123.0602234,-123.0602234,49.2617357
"1100 Bidwell St;Public School;Lord Roberts Elementary;""{""""coordinates"""": [-123.13784476",49.28678528," """"type"""": """"Point""""}"";West End;49.2867852821",-123.1378448,-123.1378448,49.28678528
"1750 E 22nd Av;Public School;Lord Selkirk Elementary;""{""""coordinates"""": [-123.06900705",49.24969195," """"type"""": """"Point""""}"";Kensington-Cedar Cottage;49.2496919521",-123.0690071,-123.0690071,49.24969195
"592 E Pender St;Public School;Lord Strathcona Community Elementary;""{""""coordinates"""": [-123.09147679242075",49.27981151," """"type"""": """"Point""""}"";Strathcona;49.2798115147",-123.0914768,-123.0914768,49.27981151
"6199 Cypress St;Public School;Maple Grove Elementary;""{""""coordinates"""": [-123.15151486",49.2294087," """"type"""": """"Point""""}"";Kerrisdale;49.2294086991",-123.1515149,-123.1515149,49.2294087
"2300 Guelph St;Public School;Mount Pleasant Elementary;""{""""coordinates"""": [-123.09399954",49.26396573," """"type"""": """"Point""""}"";Mount Pleasant;49.2639657321",-123.0939995,-123.0939995,49.26396573
"4102 W 16th Av;Public School;Norma Rose Point School;""{""""coordinates"""": [-123.20112784000001",49.25779177," """"type"""": """"Point""""}"";Dunbar-Southlands;49.2577917721",-123.2011278,-123.2011278,49.25779177
"2250 Eddington Drive;Public School;Prince of Wales Secondary;""{""""coordinates"""": [-123.15953565",49.24498305," """"type"""": """"Point""""}"";Arbutus-Ridge;49.2449830531",-123.1595357,-123.1595357,49.24498305
"1300 E Broadway;Public School;Queen Alexandra Elementary;""{""""coordinates"""": [-123.07592057",49.26197055," """"type"""": """"Point""""}"";Kensington-Cedar Cottage;49.2619705491",-123.0759206,-123.0759206,49.26197055
"100 W 15th Av;Public School;Simon Fraser Elementary;""{""""coordinates"""": [-123.10819689943345",49.25717136," """"type"""": """"Point""""}"";Mount Pleasant;49.2571713554",-123.1081969,-123.1081969,49.25717136
"960 E 39th Av;StrongStart BC;Sir Alexander Mackenzie StrongStart;""{""""coordinates"""": [-123.08671432",49.23453644," """"type"""": """"Point""""}"";Kensington-Cedar Cottage;49.2345364351",-123.0867143,-123.0867143,49.23453644
"6901 Elliott St;Public School;Sir Charles Kingsford-Smith;""{""""coordinates"""": [-123.0557042",49.22159667," """"type"""": """"Point""""}"";Victoria-Fraserview;49.2215966731",-123.0557042,-123.0557042,49.22159667
"7668 Borden St;Public School;Sir James Douglas Annex;""{""""coordinates"""": [-123.07329351",49.21483046," """"type"""": """"Point""""}"";Victoria-Fraserview;49.2148304641",-123.0732935,-123.0732935,49.21483046
"4750 St. Catherines St;Public School;Sir Richard McBride Annex;""{""""coordinates"""": [-123.08495018892324",49.24194423," """"type"""": """"Point""""}"";Kensington-Cedar Cottage;49.2419442292",-123.0849502,-123.0849502,49.24194423
"1401 E 49th Av;Public School;Sir Sandford Fleming Elementary;""{""""coordinates"""": [-123.07657409",49.22574769," """"type"""": """"Point""""}"";Victoria-Fraserview;49.2257476891",-123.0765741,-123.0765741,49.22574769
"3323 Wellington Av;StrongStart BC;Sir Wilfred Grenfell StrongStart Centre;""{""""coordinates"""": [-123.0348073745407",49.24289162," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2428916207",-123.0348074,-123.0348074,49.24289162
"428 Great Northern Way;Independent School;St Francis Xavier;""{""""coordinates"""": [-123.09452064422761",49.26646231," """"type"""": """"Point""""}"";Mount Pleasant;49.2664623111",-123.0945206,-123.0945206,49.26646231
"1885 W Broadway;Independent School;St John's International;""{""""coordinates"""": [-123.14789881614395",49.26404098," """"type"""": """"Point""""}"";Kitsilano;49.2640409804",-123.1478988,-123.1478988,49.26404098
"3000 Commercial Drive;Independent School;Stratford Hall;""{""""coordinates"""": [-123.06946327228026",49.25746922," """"type"""": """"Point""""}"";Kensington-Cedar Cottage;49.2574692155",-123.0694633,-123.0694633,49.25746922
"1551 E 37th Av;Public School;Tecumseh Annex;""{""""coordinates"""": [-123.07309884",49.23711627," """"type"""": """"Point""""}"";Kensington-Cedar Cottage;49.2371162721",-123.0730988,-123.0730988,49.23711627
"1850 E 41st Av;Public School;Tecumseh Elementary;""{""""coordinates"""": [-123.06800394",49.23205574," """"type"""": """"Point""""}"";Victoria-Fraserview;49.2320557421",-123.0680039,-123.0680039,49.23205574
"788 Beatty St;Independent School;The Westside School;""{""""coordinates"""": [-123.11344354347607",49.27757064," """"type"""": """"Point""""}"";Downtown;49.2775706443",-123.1134435,-123.1134435,49.27757064
"1130 Keefer St;Public School;Admiral Seymour Elementary;""{""""coordinates"""": [-123.08031429999998",49.27859427," """"type"""": """"Point""""}"";Strathcona;49.2785942691",-123.0803143,-123.0803143,49.27859427
"1110 Cotton Drive;Public School;Britannia Community Elementary;""{""""coordinates"""": [-123.07137879542154",49.27451201," """"type"""": """"Point""""}"";Grandview-Woodland;49.2745120086",-123.0713788,-123.0713788,49.27451201
"7835 Champlain Crescent;Public School;Champlain Heights Annex;""{""""coordinates"""": [-123.03054968939806",49.21407843," """"type"""": """"Point""""}"";Killarney;49.2140784318",-123.0305497,-123.0305497,49.21407843
"7835 Champlain Crescent;StrongStart BC;Champlain Heights Annex StrongStart Cntr;""{""""coordinates"""": [-123.03054968939806",49.21407843," """"type"""": """"Point""""}"";Killarney;49.2140784318",-123.0305497,-123.0305497,49.21407843
"315 E 23rd Av;Public School;David Livingstone Elementary;""{""""coordinates"""": [-123.09798144",49.25075334," """"type"""": """"Point""""}"";Riley Park;49.2507533361",-123.0979814,-123.0979814,49.25075334
"2900 E 44th Av;Public School;Dr George M Weir Elementary;""{""""coordinates"""": [-123.04440254",49.22957876," """"type"""": """"Point""""}"";Killarney;49.2295787591",-123.0444025,-123.0444025,49.22957876
"500 W 20th Av;Public School;Edith Cavell Elementary;""{""""coordinates"""": [-123.11722884",49.25290711," """"type"""": """"Point""""}"";South Cambie;49.2529071091",-123.1172288,-123.1172288,49.25290711
"5025 Willow St;Public School;G F Strong School Program;""{""""coordinates"""": [-123.12579095999999",49.23963096," """"type"""": """"Point""""}"";South Cambie;49.2396309611",-123.125791,-123.125791,49.23963096
"4251 Ontario St;Public School;General Wolfe Elementary;""{""""coordinates"""": [-123.10596494",49.24722871," """"type"""": """"Point""""}"";Riley Park;49.2472287061",-123.1059649,-123.1059649,49.24722871
"2625 Franklin St;Public School;Hastings Community Elementary;""{""""coordinates"""": [-123.05057740868249",49.28261096," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2826109599",-123.0505774,-123.0505774,49.28261096
"2490 W 37th Av;Independent School;Ivy Montessori School;""{""""coordinates"""": [-123.16209828723368",49.2381148," """"type"""": """"Point""""}"";Arbutus-Ridge;49.2381148009",-123.1620983,-123.1620983,49.2381148
"801 E 54th Av;Public School;John Henderson Annex;""{""""coordinates"""": [-123.08804322",49.22104214," """"type"""": """"Point""""}"";Sunset;49.2210421431",-123.0880432,-123.0880432,49.22104214
"5555 Carnarvon St;Public School;Kerrisdale Elementary;""{""""coordinates"""": [-123.17345921",49.23616825," """"type"""": """"Point""""}"";Dunbar-Southlands;49.2361682451",-123.1734592,-123.1734592,49.23616825
"6454 Killarney St;Public School;Killarney Secondary;""{""""coordinates"""": [-123.04415722000002",49.2253001," """"type"""": """"Point""""}"";Killarney;49.2253001041",-123.0441572,-123.0441572,49.2253001
"1936 W 10th Av;Public School;Lord Tennyson Elementary;""{""""coordinates"""": [-123.14937705",49.26251893," """"type"""": """"Point""""}"";Kitsilano;49.2625189341",-123.1493771,-123.1493771,49.26251893
"1950 E Hastings St;StrongStart BC;MacDonald StrongStart Centre;""{""""coordinates"""": [-123.06467911",49.28072391," """"type"""": """"Point""""}"";Grandview-Woodland;49.2807239091",-123.0646791,-123.0646791,49.28072391
"5750 Oak St;Independent School;Pacific Torah Institute;""{""""coordinates"""": [-123.12761225509908",49.23342157," """"type"""": """"Point""""}"";Oakridge;49.2334215663",-123.1276123,-123.1276123,49.23342157
"981 Nelson St;Independent School;Pattison High School;""{""""coordinates"""": [-123.12511331828341",49.28108362," """"type"""": """"Point""""}"";Downtown;49.281083621",-123.1251133,-123.1251133,49.28108362
"981 Nelson St;Independent School;Pattison School;""{""""coordinates"""": [-123.12511331828341",49.28108362," """"type"""": """"Point""""}"";Downtown;49.281083621",-123.1251133,-123.1251133,49.28108362
"5350 East Boulevard;Public School;Point Grey Secondary;""{""""coordinates"""": [-123.15343060436416",49.23728904," """"type"""": """"Point""""}"";Shaughnessy;49.2372890361",-123.1534306,-123.1534306,49.23728904
"5300 Maple St;Public School;Quilchena Elementary;""{""""coordinates"""": [-123.15157081",49.23724621," """"type"""": """"Point""""}"";Shaughnessy;49.2372462101",-123.1515708,-123.1515708,49.23724621
"8610 Ash St;Independent School;Royal Canadian College;""{""""coordinates"""": [-123.11860774594169",49.20724202," """"type"""": """"Point""""}"";Marpole;49.207242015",-123.1186077,-123.1186077,49.20724202
"3323 Wellington Av;Public School;Sir Wilfred Grenfell Community;""{""""coordinates"""": [-123.0348073745407",49.24289162," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2428916207",-123.0348074,-123.0348074,49.24289162
"7350 Laurel St;Public School;Sir Wilfrid Laurier Elementary;""{""""coordinates"""": [-123.12504721",49.21776253," """"type"""": """"Point""""}"";Marpole;49.2177625341",-123.1250472,-123.1250472,49.21776253
"2325 Cassiar St;StrongStart BC;Thunderbird StrongStart Centre;""{""""coordinates"""": [-123.03187058558184",49.26364889," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2636488904",-123.0318706,-123.0318706,49.26364889
"2450 Cambridge St;StrongStart BC;Tillicum Annex StrongStart Centre;""{""""coordinates"""": [-123.05559853",49.28626346," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2862634551",-123.0555985,-123.0555985,49.28626346
"2450 Cambridge St;Public School;Tillicum Community Annex;""{""""coordinates"""": [-123.05559853",49.28626346," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2862634551",-123.0555985,-123.0555985,49.28626346
"4170 Trafalgar St;Public School;Trafalgar Elementary;""{""""coordinates"""": [-123.16460607",49.25017876," """"type"""": """"Point""""}"";Arbutus-Ridge;49.2501787561",-123.1646061,-123.1646061,49.25017876
"1580 W Broadway;Public School;Vancouver Alternate;""{""""coordinates"""": [-123.14026052001878",49.26329988," """"type"""": """"Point""""}"";Fairview;49.2632998823",-123.1402605,-123.1402605,49.26329988
"530 E 41st Av;Public School;Vancouver Learning Network;""{""""coordinates"""": [-123.09279776",49.23195715," """"type"""": """"Point""""}"";Sunset;49.2319571501",-123.0927978,-123.0927978,49.23195715
"998 W 26th Av;Independent School;Vancouver Talmud Torah Elementary;""{""""coordinates"""": [-123.12682202118758",49.24757967," """"type"""": """"Point""""}"";South Cambie;49.2475796719",-123.126822,-123.126822,49.24757967
"15 N Renfrew St;Independent School;West Coast Christian School;""{""""coordinates"""": [-123.04453612333309",49.28498447," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2849844662",-123.0445361,-123.0445361,49.28498447
"4125 W 8th Av;Independent School;West Point Grey Academy;""{""""coordinates"""": [-123.20150739365414",49.26706635," """"type"""": """"Point""""}"";West Point Grey;49.2670663451",-123.2015074,-123.2015074,49.26706635
"1130 Keefer St;StrongStart BC;Admiral Seymour StrongStart Centre;""{""""coordinates"""": [-123.08031429999998",49.27859427," """"type"""": """"Point""""}"";Strathcona;49.2785942691",-123.0803143,-123.0803143,49.27859427
"5025 Willow St;Public School;BC Childrens Hosp School Program;""{""""coordinates"""": [-123.12579095999999",49.23963096," """"type"""": """"Point""""}"";South Cambie;49.2396309611",-123.125791,-123.125791,49.23963096
"2251 Collingwood St;Public School;Bayview Community Elementary;""{""""coordinates"""": [-123.18233379",49.26648701," """"type"""": """"Point""""}"";Kitsilano;49.2664870061",-123.1823338,-123.1823338,49.26648701
"1690 Matthews Av;Public School;Canuck Place School Program;""{""""coordinates"""": [-123.14306239951357",49.25166953," """"type"""": """"Point""""}"";Shaughnessy;49.2516695258",-123.1430624,-123.1430624,49.25166953
"438 Terminal Av;Independent School;Columbia College;""{""""coordinates"""": [-123.09507768504591",49.27155962," """"type"""": """"Point""""}"";Strathcona;49.2715596211",-123.0950777,-123.0950777,49.27155962
"6344 Nanaimo St;Independent School;Corpus Christi School;""{""""coordinates"""": [-123.05758354036608",49.2264061," """"type"""": """"Point""""}"";Victoria-Fraserview;49.2264061042",-123.0575835,-123.0575835,49.2264061
"8370 Cartier St;StrongStart BC;David Lloyd George StrongStart Centre;""{""""coordinates"""": [-123.13634890999998",49.20996241," """"type"""": """"Point""""}"";Marpole;49.2099624111",-123.1363489,-123.1363489,49.20996241
